accelerometer,gyroscope,activity
11.802857225639665,7.061978796339918,Falling
7.984250789732435,4.783331011414365,Struggling
0.45924889196586716,0.2669668889112175,Standing
0.020584494295802447,0.7759278817295955,Standing
11.754210836063,4.50272568044355,Falling
8.733618039413734,5.564847850358382,Falling
7.159725093210579,4.164916560792168,Struggling
0.3998609717152555,0.03733253057089234,Standing
9.465447373174767,6.096244944759626,Falling
0.38246199126716274,0.7865847086454306,Standing
1.5929008254399954,1.4113172778521577,Walking
7.252496259847715,3.053059844639466,Struggling
3.4312640661491187,1.7125960221746916,Walking
1.5319325044404284,0.8463407384332235,Walking
9.760609974958406,4.927133821956726,Falling
9.165974558680823,3.6934586140310883,Struggling
2.017559963200034,1.4937834265309728,Walking
5.700623497964979,3.1238249886045666,Running
8.739417822102109,7.893546197175954,Falling
5.799016533479063,3.685450708005443,Running
10.39159991524434,7.726559822580909,Falling
8.180909155642151,5.638656157671425,Falling
6.356745158869479,6.314950036607717,Struggling
7.861021229056552,4.321102743060054,Running
5.704621124873813,6.208787923016159,Struggling
1.5312728134823879,1.1351022210595545,Walking
1.8974313630683448,0.5082831756854036,Walking
0.19884240408880516,0.56907356219892,Standing
0.7712703466859457,0.05923572138727229,Standing
4.463476238100519,5.0893102776267805,Running
9.323592099410597,4.722454226001083,Falling
8.64803089169032,5.550229885420853,Struggling
0.5612434258477011,0.3063414998030319,Standing
0.7607850486168974,0.449021758055597,Standing
0.5227328293819941,0.3420328146868397,Standing
5.757346007463081,3.1051576070061886,Running
2.1287119621526536,1.262856036747054,Walking
6.246461145744375,4.641531692142519,Struggling
0.2030612247347694,0.7542828564463848,Standing
0.6947849330397046,0.7043742712122062,Standing
7.232481518257668,4.400211269531271,Running
11.214688307596457,5.152995206101125,Falling
0.32434502100527396,0.09767036376053868,Standing
2.1360069499437278,0.6650778867915151,Walking
2.7953802410827246,0.5007805654929738,Walking
9.303652916281717,3.027808522124763,Struggling
0.417411003148779,0.1776862483765842,Standing
0.2694123337985215,0.19530041779821936,Standing
0.32320293202075523,0.4150324973946929,Standing
2.3076723421160814,0.5973383706634723,Walking
7.849789179768445,3.2553468874760925,Running
6.849082359697768,2.9442607898602,Running
2.03356202855057,1.9649224337489795,Walking
8.205915004999957,5.47526262482814,Falling
2.7687026894027276,1.5210581773321503,Walking
7.447263801387815,6.942601816442403,Struggling
8.323413305330861,5.793790596214915,Falling
2.956432697223719,1.05167469907888,Walking
11.933692563579372,5.895885548555936,Falling
1.801435087930859,1.262298165111078,Walking
9.291794024068599,4.303835620807539,Struggling
8.066351315711424,6.292325704047483,Falling
0.3486659872917294,0.07694124087313661,Standing
2.881875476204932,1.0801030194508061,Walking
7.350840423629312,4.5270703511178425,Running
1.7269470424811781,1.887040427417844,Walking
5.031766510860622,4.479952138102537,Running
7.928673373317743,4.049907673813043,Running
1.9837045818009034,0.6396541517088488,Walking
10.23317381442839,7.589227201162689,Falling
2.0577427051843635,1.550536744959157,Walking
0.8563242918780924,0.32360650169775207,Standing
2.7840632923085753,0.6262099474925733,Walking
11.594216754108317,6.622501708808565,Falling
0.3722827665617431,0.7521067539662227,Standing
1.5101231676924374,0.741212077126248,Walking
5.942455014344906,3.845272428958742,Running
6.1213465473027995,5.848716885390143,Struggling
2.4877874303668692,0.7682340638319932,Walking
0.6576128923003434,0.45464688266837733,Standing
10.03525630735504,6.727164163650634,Falling
7.433710764797276,6.624395150874216,Struggling
0.7948113035416484,0.4021096744841537,Standing
10.6756962386524,7.524586477751661,Falling
10.889808461046021,5.482703268542995,Falling
0.768554014306309,0.034883017403547004,Standing
11.761834337411656,7.838750019509056,Falling
9.417470111331294,5.990875095589656,Struggling
9.641592812938626,4.712736593269257,Struggling
7.861462345854191,6.921326334864183,Struggling
9.177795568278343,5.847842050106738,Falling
2.133844010312555,0.7542391200291387,Walking
2.2893829336189446,1.766319711089467,Walking
0.570061170089365,0.07774119501661483,Standing
5.016654596278955,3.385871765256816,Running
6.963074471016817,4.591047222985804,Running
0.7089109969101186,0.4422559815263262,Standing
7.2374446219140545,4.930340184037542,Running
2.723027421731361,0.6223912706003605,Walking
2.755788829897272,0.7914109302680634,Walking
11.54646859580264,4.596658701557966,Falling
4.375927759363476,4.234840422988522,Running
0.46559801813246016,0.43411570776606134,Standing
9.194667510346816,6.441618473246701,Struggling
1.5746963774984288,1.7339008409894874,Walking
0.12706051265188478,0.4177946080438435,Standing
6.35771457909871,6.861007321563079,Struggling
11.368092300047925,5.180330118982056,Falling
0.6374299014982066,0.5808730669781292,Standing
9.847684335570795,5.858380416719808,Struggling
0.7951861947687037,0.21666580100965938,Standing
10.976170571996462,5.378011845713314,Falling
7.8505936587117,5.007940361536617,Running
2.876999801530733,0.5872903932626654,Walking
4.625748170684345,3.250728694493786,Running
2.8203947534354628,0.9199008454189143,Walking
8.689484583478842,5.217416210045602,Struggling
7.09800031213895,3.99092395800463,Struggling
0.7578461104643691,0.011514790903804695,Standing
8.184010568087011,4.642550808116395,Falling
8.701321079557355,4.5600638564111255,Falling
5.966463500467329,3.920415312341697,Running
2.429347625879223,1.474660523964145,Walking
6.463400392208866,4.405280952602931,Running
5.043574493366856,2.545913620871154,Running
0.5031362585800877,0.6851918729506579,Standing
8.419818846990704,5.463404657559655,Struggling
4.106045242166488,4.25732674382039,Running
0.8009492946823997,0.5417346739063854,Standing
0.6432882184423532,0.36660231239321334,Standing
0.8206394757439553,0.5007517360812582,Standing
3.4223811276478284,1.8580259629340956,Walking
9.095844509284536,5.2510619189793095,Falling
4.155852529240935,4.354761653013679,Running
2.8114452707614843,1.0780949314483474,Walking
4.093087742943304,4.943405447766807,Running
2.4920749085868126,1.539335538037909,Walking
6.5157713871195355,5.132416040581159,Running
9.671784126862315,7.886531930320866,Falling
8.70975817511889,7.127151630743004,Falling
0.9905051420006733,0.3300941415291412,Standing
5.000065796864419,4.24163203703173,Running
6.192984298951701,5.719379119600983,Struggling
1.9764723048079589,1.0665933292644423,Walking
2.510504744895714,1.7396861991616124,Walking
9.477616142481002,4.556806714936652,Struggling
11.834165987532794,7.465001004334564,Falling
2.1386272751808297,1.9250929505762073,Walking
10.293751552493145,6.7114302425942975,Falling
5.458520736292406,5.409763703604476,Struggling
10.690073824308154,7.13331085303188,Falling
1.726929204034896,1.8963936585309389,Walking
4.230235040066577,4.148586646971207,Running
8.685177783955044,5.183663080659956,Struggling
0.11706701642760586,0.11439334564226869,Standing
7.347855496949496,5.100606115932524,Running
6.112882087855152,4.5866064078170075,Struggling
0.7062422271564962,0.06507902451351981,Standing
6.166140362122639,5.32522166890713,Struggling
6.8532107353344545,6.25119826903001,Struggling
2.6837774776425687,1.0253273700504704,Walking
8.334002866794675,7.220014205746029,Falling
0.24872415443028795,0.2642020232152788,Standing
0.25368217387313874,0.3241616694251337,Standing
6.963895443642674,4.801584559325715,Running
2.988423313886596,1.5215591406453635,Walking
11.848690193898168,5.812047028332964,Falling
1.6657826433867085,1.2925551819458136,Walking
9.816112697203057,3.0486178987592654,Struggling
5.215799559752881,6.564572454792284,Struggling
9.964823980596503,3.2951862589415954,Struggling
0.6954111231066475,0.06034763767181542,Standing
1.9336182131729824,0.9417409202591448,Walking
2.755116160168127,1.3764714678846504,Walking
3.3305086833382127,1.9380536111117692,Walking
8.427024263743537,5.674810226789371,Falling
4.752484638895045,3.8910952148199467,Running
4.917578982819799,3.2978137748927168,Running
9.871974038330833,6.9448429779184115,Struggling
2.0595270143378914,1.1168100813082793,Walking
8.423655862769397,3.650467757379565,Struggling
0.822537242923169,0.7598399306335393,Standing
8.06707597967895,4.6729721451624755,Struggling
6.20635149017628,2.994502783411003,Running
3.055204567470451,1.220555122799532,Walking
